"Result","row.name","_"
"result.1","ə+_"," 1"
"result.1","ɚ+_","27"
"","",""
"Result","row.name","a"
"result.2","ɑ+a"," 6"
"result.2","æ+a","21"
"result.2","ə+a","96"
"result.2","ɚ+a"," 6"
"result.2","eɪ+a","27"
"result.2","ɛ+a"," 6"
"result.2","ɪ+a"," 1"
"","",""
"Result","row.name","a_e"
"result.3","ɑ+a_e"," 3"
"result.3","æ+a_e"," 3"
"result.3","ə+a_e","13"
"result.3","eɪ+a_e","24"
"result.3","ɛ+a_e"," 1"
"result.3","ɪ+a_e","11"
"","",""
"Result","row.name","ai"
"result.4","eɪ+ai","1"
"","",""
"Result","row.name","b"
"result.5","b+b","430"
"","",""
"Result","row.name","bb"
"result.6","b+bb","37"
"","",""
"Result","row.name","bp"
"result.7","p+bp","1"
"","",""
"Result","row.name","bt"
"result.8","t+bt","2"
"","",""
"Result","row.name","c"
"result.9","k+c","324"
"result.9","s+c","218"
"result.9","ʃ+c","  6"
"result.9","tʃ+c","  1"
"","",""
"Result","row.name","cc"
"result.10","k+cc","27"
"result.10","tʃ+cc"," 1"
"","",""
"Result","row.name","cch"
"result.11","k+cch","1"
"","",""
"Result","row.name","ch"
"result.12","k+ch","24"
"result.12","ʃ+ch"," 5"
"result.12","tʃ+ch","46"
"","",""
"Result","row.name","chs"
"result.13","ʃ+chs","1"
"","",""
"Result","row.name","ci"
"result.14","ʃ+ci","32"
"","",""
"Result","row.name","ck"
"result.15","k+ck","113"
"","",""
"Result","row.name","cq"
"result.16","k+cq","4"
"","",""
"Result","row.name","ct"
"result.17","t+ct","1"
"","",""
"Result","row.name","d"
"result.18","d+d","555"
"result.18","dʒ+d"," 21"
"","",""
"Result","row.name","dd"
"result.19","d+dd","41"
"","",""
"Result","row.name","ddh"
"result.20","d+ddh","1"
"","",""
"Result","row.name","dg"
"result.21","dʒ+dg","7"
"","",""
"Result","row.name","di"
"result.22","dʒ+di","2"
"","",""
"Result","row.name","dj"
"result.23","dʒ+dj","4"
"","",""
"Result","row.name","e"
"result.24","ə+e","49"
"result.24","ɚ+e","59"
"result.24","eɪ+e"," 1"
"result.24","ɛ+e","24"
"result.24","i+e"," 3"
"result.24","ɪ+e"," 3"
"","",""
"Result","row.name","e_e"
"result.25","ə+e_e","10"
"result.25","ɚ+e_e"," 1"
"result.25","ɛ+e_e"," 6"
"","",""
"Result","row.name","f"
"result.26","f+f","225"
"","",""
"Result","row.name","ff"
"result.27","f+ff","73"
"","",""
"Result","row.name","ft"
"result.28","f+ft","1"
"","",""
"Result","row.name","g"
"result.29","dʒ+g","121"
"result.29","g+g","257"
"","",""
"Result","row.name","gg"
"result.30","dʒ+gg"," 5"
"result.30","g+gg","50"
"","",""
"Result","row.name","gh"
"result.31","f+gh","3"
"result.31","g+gh","1"
"","",""
"Result","row.name","gi"
"result.32","dʒ+gi","4"
"","",""
"Result","row.name","gn"
"result.33","n+gn","3"
"result.33","nj+gn","2"
"","",""
"Result","row.name","gu"
"result.34","g+gu","5"
"","",""
"Result","row.name","h"
"result.35","h+h","79"
"","",""
"Result","row.name","ha"
"result.36","ə+ha","1"
"","",""
"Result","row.name","hau"
"result.37","ɔ+hau","2"
"","",""
"Result","row.name","he"
"result.38","ə+he","1"
"","",""
"Result","row.name","hi"
"result.39","ə+hi","1"
"result.39","ɪ+hi","3"
"","",""
"Result","row.name","i"
"result.40","aɪ+i"," 1"
"result.40","ə+i","10"
"result.40","ɚ+i"," 1"
"result.40","i+i"," 6"
"result.40","ɪ+i","97"
"result.40","j+i","28"
"","",""
"Result","row.name","i_e"
"result.41","æ+i_e","1"
"result.41","aɪ+i_e","3"
"result.41","ə+i_e","1"
"result.41","i+i_e","4"
"result.41","ɪ+i_e","6"
"","",""
"Result","row.name","ia"
"result.42","ə+ia","1"
"","",""
"Result","row.name","ie"
"result.43","i+ie","4"
"","",""
"Result","row.name","ill"
"result.44","j+ill","1"
"","",""
"Result","row.name","j"
"result.45","dʒ+j","31"
"result.45","j+j"," 1"
"result.45","ʒ+j"," 1"
"","",""
"Result","row.name","ju"
"result.46","w+ju","1"
"","",""
"Result","row.name","k"
"result.47","k+k","137"
"","",""
"Result","row.name","kk"
"result.48","k+kk","1"
"","",""
"Result","row.name","kn"
"result.49","n+kn","2"
"","",""
"Result","row.name","l"
"result.50","l+l","596"
"","",""
"Result","row.name","lk"
"result.51","k+lk","6"
"","",""
"Result","row.name","ll"
"result.52","j+ll","  1"
"result.52","l+ll","188"
"","",""
"Result","row.name","lm"
"result.53","m+lm","1"
"","",""
"Result","row.name","m"
"result.54","m+m","459"
"","",""
"Result","row.name","mb"
"result.55","m+mb","3"
"","",""
"Result","row.name","mm"
"result.56","m+mm","64"
"","",""
"Result","row.name","n"
"result.57","n+n","647"
"result.57","nj+n","  1"
"","",""
"Result","row.name","NA"
"result.58","NA+NA","128"
"","",""
"Result","row.name","nn"
"result.59","n+nn","82"
"","",""
"Result","row.name","o"
"result.60","ɑ+o"," 6"
"result.60","ɔ+o"," 1"
"result.60","ə+o","29"
"result.60","ɚ+o"," 6"
"result.60","oʊ+o","10"
"result.60","w+o"," 5"
"","",""
"Result","row.name","o_e"
"result.61","ɑ+o_e","1"
"result.61","ə+o_e","1"
"result.61","oʊ+o_e","4"
"","",""
"Result","row.name","oo"
"result.62","u+oo","1"
"","",""
"Result","row.name","ou"
"result.63","aʊ+ou"," 5"
"result.63","ə+ou","27"
"","",""
"Result","row.name","ough"
"result.64","oʊ+ough","1"
"","",""
"Result","row.name","p"
"result.65","p+p","399"
"","",""
"Result","row.name","pb"
"result.66","b+pb","2"
"","",""
"Result","row.name","ph"
"result.67","f+ph","43"
"","",""
"Result","row.name","pp"
"result.68","p+pp","104"
"","",""
"Result","row.name","pph"
"result.69","f+pph","1"
"","",""
"Result","row.name","q"
"result.70","k+q","23"
"","",""
"Result","row.name","qu"
"result.71","k+qu","9"
"","",""
"Result","row.name","r"
"result.72","ɚ+r","  2"
"result.72","r+r","368"
"","",""
"Result","row.name","rr"
"result.73","r+rr","119"
"","",""
"Result","row.name","rrh"
"result.74","r+rrh","5"
"","",""
"Result","row.name","s"
"result.75","s+s","593"
"result.75","ʃ+s","  3"
"result.75","z+s","171"
"result.75","ʒ+s"," 13"
"","",""
"Result","row.name","sc"
"result.76","s+sc","12"
"result.76","ʃ+sc"," 2"
"","",""
"Result","row.name","sch"
"result.77","ʃ+sch","3"
"","",""
"Result","row.name","sci"
"result.78","ʃ+sci","2"
"","",""
"Result","row.name","sh"
"result.79","ʃ+sh","75"
"","",""
"Result","row.name","shi"
"result.80","ʃ+shi","2"
"","",""
"Result","row.name","si"
"result.81","ʃ+si"," 7"
"result.81","ʒ+si","13"
"","",""
"Result","row.name","sl"
"result.82","l+sl","1"
"","",""
"Result","row.name","ss"
"result.83","s+ss","117"
"result.83","ʃ+ss","  7"
"result.83","z+ss","  6"
"","",""
"Result","row.name","ssi"
"result.84","ʃ+ssi","15"
"","",""
"Result","row.name","st"
"result.85","s+st","17"
"","",""
"Result","row.name","sw"
"result.86","s+sw","3"
"","",""
"Result","row.name","t"
"result.87","ʃ+t","  5"
"result.87","t+t","974"
"result.87","tʃ+t"," 56"
"","",""
"Result","row.name","tch"
"result.88","tʃ+tch","17"
"","",""
"Result","row.name","th"
"result.89","ð+th","48"
"result.89","t+th"," 1"
"result.89","θ+th","53"
"","",""
"Result","row.name","thm"
"result.90","m+thm","1"
"","",""
"Result","row.name","ti"
"result.91","ʃ+ti","171"
"result.91","tʃ+ti","  9"
"","",""
"Result","row.name","tt"
"result.92","t+tt","146"
"","",""
"Result","row.name","tth"
"result.93","θ+tth","1"
"","",""
"Result","row.name","tz"
"result.94","s+tz","2"
"","",""
"Result","row.name","u"
"result.95","ə+u","15"
"result.95","ɚ+u","10"
"result.95","ju+u"," 7"
"result.95","u+u"," 1"
"result.95","ʌ+u"," 4"
"result.95","w+u"," 3"
"","",""
"Result","row.name","u_e"
"result.96","jɚ+u_e","2"
"result.96","ju+u_e","3"
"","",""
"Result","row.name","ue"
"result.97","ju+ue","1"
"","",""
"Result","row.name","v"
"result.98","v+v","345"
"","",""
"Result","row.name","vv"
"result.99","v+vv","2"
"","",""
"Result","row.name","w"
"result.100","w+w","73"
"","",""
"Result","row.name","wh"
"result.101","w+wh","13"
"","",""
"Result","row.name","wr"
"result.102","r+wr","5"
"","",""
"Result","row.name","x"
"result.103","z+x","1"
"","",""
"Result","row.name","y"
"result.104","i+y"," 5"
"result.104","j+y","14"
"","",""
"Result","row.name","z"
"result.105","s+z","10"
"result.105","z+z","36"
"result.105","ʒ+z"," 1"
"","",""
"Result","row.name","zz"
"result.106","z+zz","15"
"","",""
