"","a","c","d","e","ee","i","ia","k","n","o","oo","ow","r","th","u","y","z"
"ɑ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"æ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aɪ",0,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0
"aʊ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ɔ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"d",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ə",0.333333333333333,0,0,0.166666666666667,0,0.166666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0
"eɪ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ɛ",0.25,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ɪ",0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0,0.125,0
"k",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"n",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ŋ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"oʊ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"r",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"s",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"t",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ʊ",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ʌ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"θ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
